'Elapsed time','CM5'
'0:01.328',-3.515
'0:01.332',-3.535
'0:01.336',-3.545
'0:01.340',-3.550
'0:01.344',-3.550
'0:01.348',-3.555
'0:01.352',-3.555
'0:01.356',-3.565
'0:01.360',-3.565
'0:01.364',-3.560
'0:01.368',-3.560
'0:01.372',-3.560
'0:01.376',-3.570
'0:01.380',-3.570
'0:01.384',-3.575
'0:01.388',-3.570
'0:01.392',-3.570
'0:01.396',-3.565
'0:01.400',-3.560
'0:01.404',-3.565
'0:01.408',-3.565
'0:01.412',-3.555
'0:01.416',-3.550
'0:01.420',-3.545
'0:01.424',-3.540
'0:01.428',-3.535
'0:01.432',-3.525
'0:01.436',-3.525
'0:01.440',-3.515
'0:01.444',-3.505
'0:01.448',-3.495
'0:01.452',-3.490
'0:01.456',-3.490
'0:01.460',-3.495
'0:01.464',-3.505
'0:01.468',-3.480
'0:01.472',-3.415
'0:01.476',-3.315
'0:01.480',-3.185
'0:01.484',-3.025
'0:01.488',-2.830
'0:01.492',-2.575
'0:01.496',-2.295
'0:01.500',-2.035
'0:01.504',-1.855
'0:01.508',-1.815
'0:01.512',-1.935
'0:01.516',-2.175
'0:01.520',-2.465
'0:01.524',-2.715
'0:01.528',-2.915
'0:01.532',-3.050
'0:01.536',-3.150
'0:01.540',-3.225
'0:01.544',-3.285
'0:01.548',-3.335
'0:01.552',-3.385
'0:01.556',-3.415
'0:01.560',-3.445
'0:01.564',-3.475
'0:01.568',-3.500
'0:01.572',-3.520
'0:01.576',-3.535
'0:01.580',-3.545
'0:01.584',-3.550
'0:01.588',-3.560
'0:01.592',-3.560
'0:01.596',-3.575
'0:01.600',-3.585
'0:01.604',-3.585
'0:01.608',-3.585
'0:01.612',-3.585
'0:01.616',-3.585
'0:01.620',-3.585
'0:01.624',-3.590
'0:01.628',-3.595
'0:01.632',-3.600
'0:01.636',-3.595
'0:01.640',-3.595
'0:01.644',-3.595
'0:01.648',-3.595
'0:01.652',-3.595
'0:01.656',-3.595
'0:01.660',-3.595
'0:01.664',-3.595
'0:01.668',-3.595
'0:01.672',-3.585
'0:01.676',-3.585
'0:01.680',-3.585
'0:01.684',-3.585
'0:01.688',-3.585
'0:01.692',-3.585
'0:01.696',-3.570
'0:01.700',-3.570
'0:01.704',-3.570
'0:01.708',-3.560
'0:01.712',-3.555
'0:01.716',-3.555
'0:01.720',-3.550
'0:01.724',-3.545
'0:01.728',-3.535
'0:01.732',-3.530
'0:01.736',-3.525
'0:01.740',-3.515
'0:01.744',-3.505
'0:01.748',-3.505
'0:01.752',-3.495
'0:01.756',-3.485
'0:01.760',-3.475
'0:01.764',-3.470
'0:01.768',-3.460
'0:01.772',-3.445
'0:01.776',-3.435
'0:01.780',-3.420
'0:01.784',-3.410
'0:01.788',-3.395
'0:01.792',-3.385
'0:01.796',-3.365
'0:01.800',-3.355
'0:01.804',-3.345
'0:01.808',-3.330
'0:01.812',-3.320
'0:01.816',-3.315
'0:01.820',-3.310
'0:01.824',-3.305
'0:01.828',-3.295
'0:01.832',-3.285
'0:01.836',-3.285
'0:01.840',-3.285
'0:01.844',-3.280
'0:01.848',-3.275
'0:01.852',-3.275
'0:01.856',-3.285
'0:01.860',-3.290
'0:01.864',-3.295
'0:01.868',-3.310
'0:01.872',-3.330
'0:01.876',-3.345
'0:01.880',-3.365
'0:01.884',-3.385
'0:01.888',-3.400
'0:01.892',-3.420
'0:01.896',-3.435
'0:01.900',-3.455
'0:01.904',-3.475
'0:01.908',-3.495
'0:01.912',-3.505
'0:01.916',-3.525
'0:01.920',-3.530
'0:01.924',-3.545
'0:01.928',-3.555
'0:01.932',-3.560
'0:01.936',-3.570
'0:01.940',-3.580
'0:01.944',-3.580
'0:01.948',-3.590
'0:01.952',-3.590
'0:01.956',-3.595
'0:01.960',-3.595
'0:01.964',-3.595
'0:01.968',-3.605
'0:01.972',-3.605
'0:01.976',-3.605
'0:01.980',-3.605
'0:01.984',-3.605
'0:01.988',-3.605
'0:01.992',-3.605
'0:01.996',-3.610
'0:02.000',-3.610
'0:02.004',-3.610
'0:02.008',-3.610
'0:02.012',-3.610
'0:02.016',-3.610
'0:02.020',-3.615
'0:02.024',-3.610
'0:02.028',-3.610
'0:02.032',-3.610
'0:02.036',-3.610
'0:02.040',-3.610
'0:02.044',-3.610
'0:02.048',-3.615
'0:02.052',-3.610
'0:02.056',-3.610
'0:02.060',-3.610
'0:02.064',-3.605
'0:02.068',-3.605
'0:02.072',-3.605
'0:02.076',-3.605
'0:02.080',-3.605
'0:02.084',-3.605
'0:02.088',-3.605
'0:02.092',-3.600
'0:02.096',-3.595
'0:02.100',-3.595
'0:02.104',-3.605
'0:02.108',-3.605
'0:02.112',-3.595
'0:02.116',-3.595
'0:02.120',-3.600
'0:02.124',-3.605
'0:02.128',-3.605
'0:02.132',-3.605
'0:02.136',-3.605
'0:02.140',-3.605
'0:02.144',-3.605
'0:02.148',-3.605
'0:02.152',-3.610
'0:02.156',-3.610
'0:02.160',-3.610
'0:02.164',-3.615
'0:02.168',-3.610
'0:02.172',-3.615
'0:02.176',-3.620
'0:02.180',-3.615
'0:02.184',-3.615
'0:02.188',-3.615
'0:02.192',-3.610
'0:02.196',-3.615
'0:02.200',-3.615
'0:02.204',-3.615
'0:02.208',-3.615
'0:02.212',-3.620
'0:02.216',-3.620
'0:02.220',-3.625
'0:02.224',-3.625
'0:02.228',-3.625
'0:02.232',-3.625
'0:02.236',-3.625
'0:02.240',-3.625
'0:02.244',-3.630
'0:02.248',-3.630
'0:02.252',-3.630
'0:02.256',-3.630
'0:02.260',-3.625
'0:02.264',-3.625
'0:02.268',-3.625
'0:02.272',-3.625
'0:02.276',-3.625
'0:02.280',-3.620
'0:02.284',-3.625
'0:02.288',-3.625
'0:02.292',-3.625
'0:02.296',-3.625
'0:02.300',-3.625
'0:02.304',-3.625
'0:02.308',-3.625
'0:02.312',-3.615
'0:02.316',-3.625
'0:02.320',-3.615
'0:02.324',-3.615
'0:02.328',-3.615
'0:02.332',-3.615
'0:02.336',-3.615
'0:02.340',-3.615
'0:02.344',-3.615
'0:02.348',-3.610
'0:02.352',-3.605
'0:02.356',-3.595
'0:02.360',-3.590
'0:02.364',-3.585
'0:02.368',-3.575
'0:02.372',-3.575
'0:02.376',-3.570
'0:02.380',-3.570
'0:02.384',-3.560
'0:02.388',-3.565
'0:02.392',-3.565
'0:02.396',-3.555
'0:02.400',-3.555
'0:02.404',-3.545
'0:02.408',-3.535
'0:02.412',-3.525
'0:02.416',-3.505
'0:02.420',-3.505
'0:02.424',-3.495
'0:02.428',-3.495
'0:02.432',-3.500
'0:02.436',-3.495
'0:02.440',-3.505
'0:02.444',-3.505
'0:02.448',-3.515
'0:02.452',-3.525
'0:02.456',-3.535
'0:02.460',-3.545
'0:02.464',-3.555
'0:02.468',-3.560
'0:02.472',-3.570
'0:02.476',-3.585
'0:02.480',-3.595
'0:02.484',-3.605
'0:02.488',-3.625
'0:02.492',-3.630
'0:02.496',-3.635
'0:02.500',-3.635
'0:02.504',-3.645
'0:02.508',-3.640
'0:02.512',-3.645
'0:02.516',-3.645
'0:02.520',-3.645
'0:02.524',-3.640
'0:02.528',-3.645
'0:02.532',-3.645
'0:02.536',-3.645
'0:02.540',-3.645
'0:02.544',-3.635
'0:02.548',-3.645
'0:02.552',-3.635
'0:02.556',-3.635
'0:02.560',-3.635
'0:02.564',-3.635
'0:02.568',-3.630
'0:02.572',-3.625
'0:02.576',-3.615
'0:02.580',-3.605
'0:02.584',-3.605
'0:02.588',-3.595
'0:02.592',-3.590
'0:02.596',-3.585
'0:02.600',-3.575
'0:02.604',-3.575
'0:02.608',-3.575
'0:02.612',-3.580
'0:02.616',-3.595
'0:02.620',-3.590
'0:02.624',-3.535
'0:02.628',-3.450
'0:02.632',-3.345
'0:02.636',-3.205
'0:02.640',-3.025
'0:02.644',-2.815
'0:02.648',-2.545
'0:02.652',-2.265
'0:02.656',-2.030
'0:02.660',-1.905
'0:02.664',-1.925
'0:02.668',-2.105
'0:02.672',-2.370
'0:02.676',-2.650
'0:02.680',-2.875
'0:02.684',-3.045
'0:02.688',-3.170
'0:02.692',-3.255
'0:02.696',-3.320
'0:02.700',-3.390
'0:02.704',-3.445
'0:02.708',-3.470
'0:02.712',-3.520
'0:02.716',-3.545
'0:02.720',-3.565
'0:02.724',-3.585
'0:02.728',-3.605
'0:02.732',-3.615
'0:02.736',-3.625
'0:02.740',-3.630
'0:02.744',-3.645
'0:02.748',-3.645
'0:02.752',-3.655
'0:02.756',-3.660
'0:02.760',-3.660
'0:02.764',-3.665
'0:02.768',-3.665
'0:02.772',-3.665
'0:02.776',-3.665
'0:02.780',-3.665
'0:02.784',-3.665
'0:02.788',-3.665
'0:02.792',-3.655
'0:02.796',-3.660
'0:02.800',-3.655
'0:02.804',-3.660
'0:02.808',-3.655
'0:02.812',-3.655
'0:02.816',-3.655
'0:02.820',-3.645
'0:02.824',-3.640
'0:02.828',-3.640
'0:02.832',-3.645
'0:02.836',-3.635
'0:02.840',-3.630
'0:02.844',-3.630
'0:02.848',-3.625
'0:02.852',-3.625
'0:02.856',-3.615
'0:02.860',-3.615
'0:02.864',-3.610
'0:02.868',-3.605
'0:02.872',-3.595
'0:02.876',-3.585
'0:02.880',-3.585
'0:02.884',-3.580
'0:02.888',-3.570
'0:02.892',-3.560
'0:02.896',-3.555
'0:02.900',-3.550
'0:02.904',-3.535
'0:02.908',-3.525
'0:02.912',-3.520
'0:02.916',-3.510
'0:02.920',-3.495
'0:02.924',-3.475
'0:02.928',-3.465
'0:02.932',-3.450
'0:02.936',-3.435
'0:02.940',-3.425
'0:02.944',-3.410
'0:02.948',-3.395
'0:02.952',-3.385
'0:02.956',-3.370
'0:02.960',-3.355
'0:02.964',-3.345
'0:02.968',-3.335
'0:02.972',-3.330
'0:02.976',-3.315
'0:02.980',-3.310
'0:02.984',-3.305
'0:02.988',-3.295
'0:02.992',-3.295
'0:02.996',-3.290
'0:03.000',-3.290
'0:03.004',-3.285
'0:03.008',-3.285
'0:03.012',-3.295
'0:03.016',-3.305
'0:03.020',-3.315
'0:03.024',-3.325
'0:03.028',-3.335
'0:03.032',-3.355
'0:03.036',-3.375
'0:03.040',-3.400
'0:03.044',-3.415
'0:03.048',-3.435
'0:03.052',-3.460
'0:03.056',-3.470
'0:03.060',-3.490
'0:03.064',-3.505
'0:03.068',-3.515
'0:03.072',-3.525
'0:03.076',-3.540
'0:03.080',-3.545
'0:03.084',-3.550
'0:03.088',-3.555
'0:03.092',-3.565
'0:03.096',-3.565
'0:03.100',-3.570
'0:03.104',-3.570
'0:03.108',-3.570
'0:03.112',-3.570
'0:03.116',-3.570
'0:03.120',-3.570
'0:03.124',-3.570
'0:03.128',-3.575
'0:03.132',-3.580
'0:03.136',-3.575
'0:03.140',-3.575
'0:03.144',-3.580
'0:03.148',-3.580
'0:03.152',-3.575
'0:03.156',-3.570
'0:03.160',-3.570
'0:03.164',-3.575
'0:03.168',-3.570
'0:03.172',-3.570
'0:03.176',-3.565
'0:03.180',-3.560
'0:03.184',-3.565
'0:03.188',-3.565
'0:03.192',-3.560
'0:03.196',-3.555
'0:03.200',-3.555
'0:03.204',-3.555
'0:03.208',-3.555
'0:03.212',-3.555
'0:03.216',-3.555
'0:03.220',-3.555
'0:03.224',-3.550
'0:03.228',-3.550
'0:03.232',-3.545
'0:03.236',-3.545
'0:03.240',-3.545
'0:03.244',-3.545
'0:03.248',-3.535
'0:03.252',-3.535
'0:03.256',-3.540
'0:03.260',-3.535
'0:03.264',-3.535
'0:03.268',-3.535
'0:03.272',-3.535
'0:03.276',-3.530
'0:03.280',-3.530
'0:03.284',-3.530
'0:03.288',-3.535
'0:03.292',-3.535
'0:03.296',-3.535
'0:03.300',-3.535
'0:03.304',-3.535
'0:03.308',-3.535
'0:03.312',-3.530
'0:03.316',-3.530
'0:03.320',-3.530
'0:03.324',-3.530
'0:03.328',-3.535
'0:03.332',-3.535
'0:03.336',-3.535
'0:03.340',-3.545
'0:03.344',-3.545
'0:03.348',-3.535
'0:03.352',-3.535
'0:03.356',-3.545
'0:03.360',-3.545
'0:03.364',-3.545
'0:03.368',-3.545
'0:03.372',-3.545
'0:03.376',-3.545
'0:03.380',-3.545
'0:03.384',-3.545
'0:03.388',-3.545
'0:03.392',-3.545
'0:03.396',-3.545
'0:03.400',-3.540
'0:03.404',-3.545
'0:03.408',-3.545
'0:03.412',-3.545
'0:03.416',-3.540
'0:03.420',-3.535
'0:03.424',-3.535
'0:03.428',-3.535
'0:03.432',-3.535
'0:03.436',-3.535
'0:03.440',-3.535
'0:03.444',-3.535
'0:03.448',-3.535
'0:03.452',-3.535
'0:03.456',-3.530
'0:03.460',-3.530
'0:03.464',-3.530
'0:03.468',-3.530
'0:03.472',-3.530
'0:03.476',-3.530
'0:03.480',-3.530
'0:03.484',-3.530
'0:03.488',-3.525
'0:03.492',-3.525
'0:03.496',-3.525
'0:03.500',-3.525
'0:03.504',-3.515
'0:03.508',-3.515
'0:03.512',-3.505
'0:03.516',-3.505
'0:03.520',-3.495
'0:03.524',-3.490
'0:03.528',-3.490
'0:03.532',-3.480
'0:03.536',-3.475
'0:03.540',-3.475
'0:03.544',-3.470
'0:03.548',-3.470
'0:03.552',-3.465
'0:03.556',-3.455
'0:03.560',-3.445
'0:03.564',-3.430
'0:03.568',-3.420
'0:03.572',-3.415
'0:03.576',-3.400
'0:03.580',-3.395
'0:03.584',-3.395
'0:03.588',-3.400
'0:03.592',-3.400
'0:03.596',-3.415
'0:03.600',-3.415
'0:03.604',-3.425
'0:03.608',-3.435
'0:03.612',-3.445
'0:03.616',-3.445
'0:03.620',-3.455
'0:03.624',-3.465
'0:03.628',-3.475
'0:03.632',-3.490
'0:03.636',-3.505
'0:03.640',-3.515
'0:03.644',-3.530
'0:03.648',-3.535
'0:03.652',-3.535
'0:03.656',-3.545
'0:03.660',-3.545
'0:03.664',-3.545
'0:03.668',-3.545
'0:03.672',-3.550
'0:03.676',-3.550
'0:03.680',-3.555
'0:03.684',-3.555
'0:03.688',-3.555
'0:03.692',-3.555
'0:03.696',-3.555
'0:03.700',-3.550
'0:03.704',-3.550
'0:03.708',-3.550
'0:03.712',-3.550
'0:03.716',-3.545
'0:03.720',-3.545
'0:03.724',-3.540
'0:03.728',-3.535
'0:03.732',-3.530
'0:03.736',-3.530
'0:03.740',-3.525
'0:03.744',-3.520
'0:03.748',-3.515
'0:03.752',-3.505
'0:03.756',-3.495
'0:03.760',-3.490
'0:03.764',-3.485
'0:03.768',-3.490
'0:03.772',-3.505
'0:03.776',-3.505
'0:03.780',-3.465
'0:03.784',-3.385
'0:03.788',-3.275
'0:03.792',-3.135
'0:03.796',-2.985
'0:03.800',-2.775
'0:03.804',-2.520
'0:03.808',-2.225
'0:03.812',-1.975
'0:03.816',-1.795
'0:03.820',-1.775
'0:03.824',-1.915
'0:03.828',-2.170
'0:03.832',-2.460
'0:03.836',-2.705
'0:03.840',-2.905
'0:03.844',-3.045
'0:03.848',-3.140
'0:03.852',-3.210
'0:03.856',-3.265
'0:03.860',-3.325
'0:03.864',-3.370
'0:03.868',-3.410
'0:03.872',-3.435
'0:03.876',-3.460
'0:03.880',-3.480
'0:03.884',-3.505
'0:03.888',-3.515
'0:03.892',-3.530
'0:03.896',-3.535
'0:03.900',-3.545
'0:03.904',-3.540
'0:03.908',-3.550
'0:03.912',-3.555
'0:03.916',-3.555
'0:03.920',-3.565
'0:03.924',-3.565
'0:03.928',-3.560
'0:03.932',-3.565
'0:03.936',-3.570
'0:03.940',-3.570
'0:03.944',-3.570
'0:03.948',-3.565
'0:03.952',-3.565
'0:03.956',-3.565
'0:03.960',-3.570
'0:03.964',-3.560
'0:03.968',-3.570
'0:03.972',-3.565
'0:03.976',-3.570
'0:03.980',-3.570
'0:03.984',-3.570
'0:03.988',-3.565
'0:03.992',-3.565
'0:03.996',-3.555
'0:04.000',-3.555
'0:04.004',-3.555
'0:04.008',-3.550
'0:04.012',-3.545
'0:04.016',-3.535
'0:04.020',-3.530
'0:04.024',-3.530
'0:04.028',-3.515
'0:04.032',-3.515
'0:04.036',-3.510
'0:04.040',-3.505
'0:04.044',-3.495
'0:04.048',-3.495
'0:04.052',-3.485
'0:04.056',-3.475
'0:04.060',-3.465
'0:04.064',-3.455
'0:04.068',-3.450
'0:04.072',-3.435
'0:04.076',-3.425
'0:04.080',-3.420
'0:04.084',-3.400
'0:04.088',-3.395
'0:04.092',-3.375
'0:04.096',-3.365
'0:04.100',-3.350
'0:04.104',-3.335
'0:04.108',-3.320
'0:04.112',-3.315
'0:04.116',-3.295
'0:04.120',-3.290
'0:04.124',-3.285
'0:04.128',-3.275
'0:04.132',-3.260
'0:04.136',-3.250
'0:04.140',-3.240
'0:04.144',-3.235
'0:04.148',-3.235
'0:04.152',-3.230
'0:04.156',-3.230
'0:04.160',-3.225
'0:04.164',-3.225
'0:04.168',-3.230
'0:04.172',-3.240
'0:04.176',-3.245
'0:04.180',-3.260
'0:04.184',-3.270
'0:04.188',-3.290
'0:04.192',-3.310
'0:04.196',-3.335
'0:04.200',-3.345
'0:04.204',-3.375
'0:04.208',-3.390
'0:04.212',-3.410
'0:04.216',-3.425
'0:04.220',-3.445
'0:04.224',-3.455
'0:04.228',-3.470
'0:04.232',-3.480
'0:04.236',-3.480
'0:04.240',-3.500
'0:04.244',-3.505
'0:04.248',-3.505
'0:04.252',-3.515
'0:04.256',-3.515
'0:04.260',-3.520
'0:04.264',-3.525
'0:04.268',-3.530
'0:04.272',-3.525
'0:04.276',-3.525
'0:04.280',-3.530
'0:04.284',-3.530
'0:04.288',-3.535
'0:04.292',-3.535
'0:04.296',-3.535
'0:04.300',-3.545
'0:04.304',-3.535
'0:04.308',-3.545
'0:04.312',-3.535
'0:04.316',-3.540
'0:04.320',-3.545
'0:04.324',-3.535
'0:04.328',-3.545
'0:04.332',-3.535
'0:04.336',-3.540
'0:04.340',-3.540
'0:04.344',-3.535
'0:04.348',-3.540
'0:04.352',-3.535
'0:04.356',-3.535
'0:04.360',-3.535
'0:04.364',-3.535
'0:04.368',-3.535
'0:04.372',-3.535
'0:04.376',-3.535
'0:04.380',-3.530
'0:04.384',-3.530
'0:04.388',-3.535
'0:04.392',-3.535
'0:04.396',-3.530
'0:04.400',-3.530
'0:04.404',-3.530
'0:04.408',-3.525
'0:04.412',-3.530
'0:04.416',-3.525
'0:04.420',-3.525
'0:04.424',-3.525
'0:04.428',-3.525
'0:04.432',-3.525
'0:04.436',-3.525
'0:04.440',-3.525
'0:04.444',-3.530
'0:04.448',-3.525
'0:04.452',-3.530
'0:04.456',-3.530
'0:04.460',-3.530
'0:04.464',-3.530
'0:04.468',-3.535
'0:04.472',-3.535
'0:04.476',-3.535
'0:04.480',-3.535
'0:04.484',-3.535
'0:04.488',-3.545
'0:04.492',-3.545
'0:04.496',-3.545
'0:04.500',-3.540
'0:04.504',-3.545
'0:04.508',-3.545
'0:04.512',-3.545
'0:04.516',-3.545
'0:04.520',-3.550
'0:04.524',-3.545
'0:04.528',-3.545
'0:04.532',-3.545
'0:04.536',-3.550
'0:04.540',-3.545
'0:04.544',-3.545
'0:04.548',-3.550
'0:04.552',-3.545
'0:04.556',-3.550
'0:04.560',-3.550
'0:04.564',-3.550
'0:04.568',-3.550
'0:04.572',-3.545
'0:04.576',-3.545
'0:04.580',-3.550
'0:04.584',-3.545
'0:04.588',-3.550
'0:04.592',-3.550
'0:04.596',-3.545
'0:04.600',-3.545
'0:04.604',-3.545
'0:04.608',-3.545
'0:04.612',-3.545
'0:04.616',-3.545
'0:04.620',-3.545
'0:04.624',-3.545
'0:04.628',-3.545
'0:04.632',-3.545
'0:04.636',-3.550
'0:04.640',-3.545
'0:04.644',-3.535
'0:04.648',-3.545
